Selected,Replicate,animal,day,silage,dmi,time,reticph,retpred,retresid,rumenph,rumpred,rumresid,lag1p,lag3p,lag2r,lag4r,lag7r,lag9r,new_rumpred,StdErrPred,DF,Alpha,Lower,Upper,Resid,cv_rumpred,new_resid,absr
0,1,52,9,30,6,0,6.847144229,6.8434305885,0.0037136405,6.470997357,6.4204251437,0.0505722133,6.6548484764,6.6659453018,0.1060012136,0.0252664847,-0.089061711,-0.063783499,,0.3315020047,14615,0.05,5.8050819179,7.1046535238,,6.4548677209,0.0161296361,0.0161296361
0,1,52,9,30,6,0.003472222,6.861702935,6.8456880958,0.0160148392,6.447248933,6.6358089787,-0.188560046,6.8434305885,6.6605607684,0.1174490456,0.0537091882,-0.073316051,-0.094214527,,0.3363215116,14615,0.05,5.9080472723,7.2265125629,,6.5672799176,-0.120030985,0.1200309846
0,1,52,9,30,6,0.006944444,6.858616222,6.8478076356,0.0108085864,6.488567703,6.6212270451,-0.132659342,6.8456880958,6.6548484764,0.0037136405,0.1060012136,-0.048442332,-0.089061711,,0.3329723048,14615,0.05,5.8945474744,7.1998830283,,6.5472152514,-0.058647548,0.0586475484
0,1,52,9,30,6,0.010416667,6.873175118,6.8497916645,0.0233834535,6.6023466,6.638874773,-0.036528173,6.8478076356,6.8434305885,0.0160148392,0.1174490456,0.0252664847,-0.073316051,,0.3337310742,14615,0.05,5.9067818754,7.2150919967,,6.5609369361,0.0414096639,0.0414096639
0,1,52,9,30,6,0.013888889,6.768625559,6.8516426208,-0.083017062,6.580076645,6.6325835348,-0.05250689,6.8497916645,6.8456880958,0.0108085864,0.0037136405,0.0537091882,-0.048442332,,0.3341124938,14615,0.05,5.8967568226,7.2065622055,,6.5516595141,0.0284171309,0.0284171309
0,1,52,9,30,6,0.017361111,6.711130497,6.8533629273,-0.14223243,6.538582886,6.6454467123,-0.106863826,6.8516426208,6.8478076356,0.0233834535,0.0160148392,0.1060012136,0.0252664847,,0.3358009543,14615,0.05,5.9006787473,7.2171033216,,6.5588910345,-0.020308148,0.0203081485
0,1,52,9,30,6,0.020833333,6.769803618,6.8549549899,-0.085151372,6.556240114,6.6414502498,-0.085210136,6.8533629273,6.8497916645,-0.083017062,0.0108085864,0.1174490456,0.0537091882,,0.3333890289,14615,0.05,5.8958113632,7.202780581,,6.5492959721,0.0069441419,0.0069441419
0,1,52,9,30,6,0.024305556,6.838770761,6.8564211979,-0.017650437,6.538407004,6.6336774909,-0.095270487,6.8549549899,6.8516426208,-0.14223243,0.0233834535,0.0037136405,0.1060012136,,0.332697929,14615,0.05,5.8897333718,7.1939933031,,6.5418633375,-0.003456333,0.0034563335
0,1,52,9,30,6,0.027777778,6.843036384,6.8577639225,-0.014727538,6.539797811,6.6485686476,-0.108770837,6.8564211979,6.8533629273,-0.085151372,-0.083017062,0.0160148392,0.1174490456,,0.3342442853,14615,0.05,5.9021176399,7.2124396787,,6.5572786593,-0.017480848,0.0174808483
0,1,52,9,30,6,0.03125,6.848772557,6.8589855196,-0.010212963,6.535273638,6.6460095256,-0.110735888,6.8577639225,6.8549549899,-0.017650437,-0.14223243,0.0108085864,0.0037136405,,0.3347224096,14615,0.05,5.9060088769,7.2182052836,,6.5621070802,-0.026833442,0.0268334422
0,1,52,9,30,6,0.034722222,6.935387236,6.8600883277,0.0752989083,6.548494316,6.662473445,-0.113979129,6.8589855196,6.8564211979,-0.014727538,-0.085151372,0.0233834535,0.0160148392,,0.3351161084,14615,0.05,5.9204825696,7.234222375,,6.5773524723,-0.028858156,0.0288581563
0,1,52,9,30,6,0.038194444,6.851421923,6.8610746687,-0.009652746,6.514395619,6.6380400437,-0.123644425,6.8600883277,6.8577639225,-0.010212963,-0.017650437,-0.083017062,0.0108085864,,0.335153023,14615,0.05,5.9007275044,7.2146120243,,6.5576697643,-0.043274145,0.0432741453
0,1,52,9,30,6,0.041666667,6.892450961,6.8619468477,0.0305041133,6.536488579,6.6531772898,-0.116688711,6.8610746687,6.8589855196,0.0752989083,-0.014727538,-0.14223243,0.0233834535,,0.3382173476,14615,0.05,5.9144831276,7.2403805742,,6.5774318509,-0.040943272,0.0409432719
0,1,52,9,30,6,0.045138889,6.915833927,6.8627071526,0.0531267744,6.560060022,6.6352095516,-0.07514953,6.8619468477,6.8600883277,-0.009652746,-0.010212963,-0.085151372,-0.083017062,,0.3343313757,14615,0.05,5.9035563258,7.214219781,,6.5588880534,0.0011719686,0.0011719686
0,1,52,9,30,6,0.048611111,6.88333642,6.863357855,0.019978565,6.596939555,6.6393377097,-0.042398155,6.8627071526,6.8610746687,0.0305041133,0.0752989083,-0.017650437,-0.14223243,,0.3349303554,14615,0.05,5.9074144442,7.2204260511,,6.5639202477,0.0330193073,0.0330193073
0,1,52,9,30,6,0.052083333,6.824368689,6.8639012097,-0.039532521,6.71366829,6.6440552294,0.0696130606,6.863357855,6.8619468477,0.0531267744,-0.009652746,-0.014727538,-0.085151372,,0.3363471526,14615,0.05,5.907173426,7.2257392357,,6.5664563308,0.1472119592,0.1472119592
0,1,52,9,30,6,0.055555556,6.880103948,6.8643394545,0.0157644935,6.649995848,6.6559981359,-0.006002288,6.8639012097,6.8627071526,0.019978565,0.0305041133,-0.010212963,-0.017650437,,0.3362255997,14615,0.05,5.9148751907,7.2329644824,,6.5739198365,0.0760760115,0.0760760115
0,1,52,9,30,6,0.059027778,6.91672238,6.8646748105,0.0520475695,6.652864693,6.6625977752,-0.009733082,6.8643394545,6.863357855,-0.039532521,0.0531267744,0.0752989083,-0.014727538,,0.3347647047,14615,0.05,5.9184312976,7.2307935118,,6.5746124047,0.0782522883,0.0782522883
0,1,52,9,30,6,0.0625,7.022458025,6.864909482,0.157548543,6.735581862,6.6761588303,0.0594230317,6.8646748105,6.8639012097,0.0157644935,0.019978565,-0.009652746,-0.010212963,,0.3362896221,14615,0.05,5.9342746537,7.2526149294,,6.5934447916,0.1421370704,0.1421370704
0,1,52,9,30,6,0.065972222,6.942901752,6.8650456566,0.0778560954,6.717748919,6.6889858445,0.0287630745,6.864909482,6.8643394545,0.0520475695,-0.039532521,0.0305041133,0.0752989083,,0.3389611042,14615,0.05,5.9372682797,7.2660814402,,6.6016748599,0.1160740591,0.1160740591
0,1,52,9,30,6,0.069444444,6.979520988,6.8650855051,0.1144354829,6.818208804,6.7039274457,0.1142813583,6.8650456566,6.8646748105,0.157548543,0.0157644935,0.0531267744,-0.009652746,,0.3419765924,14615,0.05,5.9526282268,7.293262863,,6.6229455449,0.1952632591,0.1952632591
0,1,52,9,30,6,0.072916667,7.014669971,6.8650311814,0.1496387896,6.819598075,6.6958652409,0.1237328341,6.8650855051,6.864909482,0.0778560954,0.0520475695,0.019978565,0.0305041133,,0.3392138361,14615,0.05,5.946945183,7.2767491162,,6.6118471496,0.2077509254,0.2077509254
0,1,52,9,30,6,0.076388889,6.968936338,6.8648848228,0.1040515152,6.874218477,6.6913128142,0.1829056628,6.8650311814,6.8650456566,0.1144354829,0.157548543,-0.039532521,0.0531267744,,0.3409674978,14615,0.05,5.9416614924,7.2783402227,,6.6100008575,0.2642176195,0.2642176195
0,1,52,9,30,6,0.079861111,6.908496224,6.8646485497,0.0438476743,6.863778362,6.6920678548,0.1717105072,6.8648848228,6.8650855051,0.1496387896,0.0778560954,0.0157644935,0.019978565,,0.3420636905,14615,0.05,5.9404896681,7.2814657505,,6.6109777093,0.2528006527,0.2528006527
0,1,52,9,30,6,0.083333333,6.840702489,6.8643244657,-0.023621977,6.887346793,6.6715207125,0.2158260805,6.8646485497,6.8650311814,0.1040515152,0.1144354829,0.0520475695,-0.039532521,,0.3391583896,14615,0.05,5.9252556455,7.2548422147,,6.5900489301,0.2972978629,0.2972978629
0,1,52,9,30,6,0.086805556,6.821438568,6.8639146576,-0.04247609,6.922743943,6.6796887451,0.2430551979,6.8643244657,6.8648848228,0.0438476743,0.1496387896,0.157548543,0.0157644935,,0.3380391385,14615,0.05,5.9265200557,7.2517188776,,6.5891194667,0.3336244763,0.3336244763
0,1,52,9,30,6,0.090277778,6.835998873,6.8634211956,-0.027422323,6.882731484,6.6639663225,0.2187651615,6.8639146576,6.8646485497,-0.023621977,0.1040515152,0.0778560954,0.0520475695,,0.3361148348,14615,0.05,5.9142079609,7.2318630261,,6.5730354935,0.3096959905,0.3096959905
0,1,52,9,30,6,0.09375,6.956444893,6.8628461331,0.0935987599,6.85898409,6.6957577201,0.1632263699,6.8634211956,6.8643244657,-0.04247609,0.0438476743,0.1144354829,0.157548543,,0.3372177264,14615,0.05,5.9369039872,7.2588826664,,6.5978933268,0.2610907632,0.2610907632
0,1,52,9,30,6,0.097222222,7.031302194,6.8621915064,0.1691106876,6.827843951,6.7018646451,0.1259793059,6.8628461331,6.8639146576,-0.027422323,-0.023621977,0.1496387896,0.0778560954,,0.3364909659,14615,0.05,5.9471511071,7.2662807015,,6.6067159043,0.2211280467,0.2211280467
0,1,52,9,30,6,0.100694444,6.998802985,6.8614593353,0.1373436497,6.815925799,6.7171586062,0.0987671928,6.8621915064,6.8634211956,0.0935987599,-0.04247609,0.1040515152,0.1144354829,,0.3413848244,14615,0.05,5.9571961316,7.2955108875,,6.6263535095,0.1895722895,0.1895722895
0,1,52,9,30,6,0.104166667,6.941302367,6.8606516226,0.0806507444,6.830622251,6.7189454107,0.1116768403,6.8614593353,6.8628461331,0.1691106876,-0.027422323,0.0438476743,0.1496387896,,0.3454228831,14615,0.05,5.9546180575,7.3087630238,,6.6316905407,0.1989317103,0.1989317103
0,1,52,9,30,6,0.107638889,6.861741314,6.8597703549,0.0019709591,6.747732613,6.686964987,0.060767626,6.8606516226,6.8621915064,0.1373436497,0.0935987599,-0.023621977,0.1040515152,,0.342577018,14615,0.05,5.932265082,7.275253538,,6.60375931,0.143973303,0.143973303
0,1,52,9,30,6,0.111111111,6.78512086,6.8588175013,-0.073696641,6.73137935,6.6554068062,0.0759725438,6.8597703549,6.8614593353,0.0806507444,0.1691106876,-0.04247609,0.0438476743,,0.3389079296,14615,0.05,5.9096955627,7.2383002653,,6.573997914,0.157381436,0.157381436
0,1,52,9,30,6,0.114583333,6.752619914,6.8577950145,-0.105175101,6.700240656,6.6293820838,0.0708585722,6.8588175013,6.8606516226,0.0019709591,0.1373436497,-0.027422323,-0.023621977,,0.3351985857,14615,0.05,5.8909080598,7.2049711972,,6.5479396285,0.1523010275,0.1523010275
0,1,52,9,30,6,0.118055556,6.753944324,6.85670483,-0.102760506,6.706066083,6.6290354354,0.0770306476,6.8577950145,6.8597703549,-0.073696641,0.0806507444,0.0935987599,-0.04247609,,0.3331859571,14615,0.05,5.8877564802,7.1939296051,,6.5408430426,0.1652230404,0.1652230404
0,1,52,9,30,6,0.121527778,6.775858374,6.8555488674,-0.079690493,6.664578024,6.6377362729,0.0268417511,6.85670483,6.8588175013,-0.105175101,0.0019709591,0.1691106876,-0.027422323,,0.3327574736,14615,0.05,5.8924500047,7.1969433661,,6.5446966854,0.1198813386,0.1198813386
0,1,52,9,30,6,0.125,6.846305539,6.8543290288,-0.00802349,6.679274794,6.6590885797,0.0201862143,6.8555488674,6.8577950145,-0.102760506,-0.073696641,0.1373436497,0.0935987599,,0.3339741448,14615,0.05,5.9075393414,7.2168023609,,6.5621708511,0.1171039429,0.1171039429
0,1,52,9,30,6,0.128472222,6.81380428,6.8530471996,-0.03924292,6.682143177,6.6606530244,0.0214901526,6.8543290288,6.85670483,-0.079690493,-0.105175101,0.0806507444,0.1691106876,,0.3353018386,14615,0.05,5.9064294753,7.2208973902,,6.5636634328,0.1184797442,0.1184797442
0,1,52,9,30,6,0.131944444,6.803363341,6.8517052485,-0.048341907,6.711624923,6.6561101963,0.0555147267,6.8530471996,6.8555488674,-0.00802349,-0.102760506,0.0019709591,0.1373436497,,0.3366302865,14615,0.05,5.9067026766,7.2263784427,,6.5665405596,0.1450843634,0.1450843634
0,1,52,9,30,6,0.135416667,6.8223366,6.850305027,-0.027968427,6.679008767,6.6344801628,0.0445286042,6.8517052485,6.8543290288,-0.03924292,-0.079690493,-0.073696641,0.0806507444,,0.3345982614,14615,0.05,5.8941356848,7.2058453993,,6.549990542,0.129018225,0.129018225
