                                 The SAS System                                1
                                                13:14 Thursday, December 3, 2015

  Obs   day   animal   silage   dmi   time   rumenph   reticph   tc   date_time

    1     1      52      50      5      0    6.63284   6.58775    0   1706075896
  289     2      52      50      8      0    6.80245   6.78806    1   1706162296
  577     3      52      50      8      0    6.80487   6.68582    2   1706248696
  865     4      52      40      8      0    6.83671   7.05595    3   1706335096
 1153     5      52      40      8      0    6.78730   6.87084    4   1706421496
 1441     6      52      40      9      0    7.05022   6.94839    5   1706507896
 1729     7      52      30      4      0    6.81808   6.87250    6   1706594296
 2017     8      52      30      8      0    6.87091   7.05509    7   1706680696
 2305     9      52      30      6      0    6.47100   6.84714    8   1706767096
 2593    10      52      20      7      0    6.58273   6.76461    9   1706853496
 2881    11      52      20      7      0    6.79577   6.80675   10   1706939896
 3169    12      52      20      6      0    6.71409   6.81512   11   1707026296
 3457    13      52      12      8      0    6.50330    .        12   1707112696
 3745    14      52      12      8      0    6.43989    .        13   1707199096
 4033    15      52      12      8      0    6.41396    .        14   1707285496
 4321     1      64      50      6      0    6.56300   6.33217    0   1706075896
 4609     2      64      50      7      0    6.96966   6.67321    1   1706162296
 4897     3      64      50      7      0    7.05419   6.76886    2   1706248696
 5185     4      64      40      7      0    6.72244   7.01130    3   1706335096
 5473     5      64      40      7      0    6.40320   7.04925    4   1706421496
 5761     6      64      40      6      0    6.63778   7.10290    5   1706507896
 6049     7      64      30      8      0    6.56446   6.66213    6   1706594296
 6337     8      64      30      7      0    6.54989   6.67087    7   1706680696
 6625     9      64      30      7      0    6.62056   6.77053    8   1706767096
 6913    10      64      20      7      0    6.30106   6.48737    9   1706853496
 7201    11      64      20      6      0    6.44247   6.70860   10   1706939896
 7489    12      64      20      6      0    6.51742   6.74108   11   1707026296
 7777    13      64      12      7      0    6.25034   6.62649   12   1707112696
 8065    14      64      12      7      0    6.53804   6.81791   13   1707199096
 8353    15      64      12      7      0    6.64292   6.66660   14   1707285496
 8641     1     138      50      7      0    6.53752   6.33217    0   1706075896
 8929     2     138      50      8      0    6.67790   6.67321    1   1706162296
 9217     3     138      50      9      0    6.77237   6.76886    2   1706248696
 9505     4     138      40      9      0    6.78209   7.01130    3   1706335096
 9793     5     138      40      9      0    6.95291   7.04925    4   1706421496
10081     6     138      40      9      0    6.79277   7.10290    5   1706507896
10369     7     138      30      4      0    7.03559   7.09173    6   1706594296
10657     8     138      30      7      0    6.61893   7.10541    7   1706680696
10945     9     138      30      4      0    6.25847   7.08964    8   1706767096
11233    10     138      20      6      0    6.44491   6.41398    9   1706853496
11521    11     138      20      8      0    6.42866   6.70917   10   1706939896
11809    12     138      20      7      0    6.45446   6.56881   11   1707026296
12097    13     138      12      8      0    6.22933   6.67495   12   1707112696
12385    14     138      12      9      0    6.71443   6.99984   13   1707199096
12673    15     138      12      9      0    6.71615   6.99103   14   1707285496
12961     1     183      50      8      0    6.53751   6.34140    0   1706075896
13249     2     183      50      8      0    6.67788   6.56667    1   1706162296
13537     3     183      50      8      0    6.77235   6.86277    2   1706248696
13825     4     183      40      8      0    6.78206   6.75013    3   1706335096
14113     5     183      40      8      0    6.95287   7.03523    4   1706421496
14401     6     183      40      8      0    6.79273   6.97025    5   1706507896
14689     7     183      30      8      0    6.82364   6.85729    6   1706594296
14977     8     183      30      8      0    6.82140   6.93469    7   1706680696
15265     9     183      30      8      0    6.66061   7.00018    8   1706767096
15553    10     183      20      9      0    6.55976   6.67797    9   1706853496
                                 The SAS System                                2
                                                13:14 Thursday, December 3, 2015

  Obs   day   animal   silage   dmi   time   rumenph   reticph   tc   date_time

15841    11     183      20      9      0    6.56796   6.79245   10   1706939896
16129    12     183      20      8      0    6.44854   6.81108   11   1707026296
16417    13     183      12      8      0    6.86390   7.12622   12   1707112696
16705    14     183      12      8      0    6.80587   7.08497   13   1707199096
16993    15     183      12      8      0    6.64466   7.10258   14   1707285496
